fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"240,266,376,492,512,764,779,896,1066,1634,1729,1770,1771,1883",results_colon_cv_seed42_cG_1/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.7142857142857143,0.2857142857142857,0.6666666666666666,14.0,"42,71,240,248,492,512,821,1003,1041,1422,1581,1633,1771,1872",results_colon_cv_seed42_cG_1/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,244,248,266,364,376,492,764,779,1230,1581,1634,1872,1916",results_colon_cv_seed42_cG_1/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_03_eta.csv
4,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,410,512,575,801,963,1041,1465,1581,1770,1771,1807,1835,1883",results_colon_cv_seed42_cG_1/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.5,0.5,0.5714285714285714,14.0,"46,390,398,410,488,514,608,624,811,993,1001,1325,1345,1548",results_colon_cv_seed42_cG_1/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"25,65,66,248,266,285,376,492,512,738,811,1324,1422,1883",results_colon_cv_seed42_cG_1/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_06_eta.csv
7,56.0,6.0,1.0,0.0,1.0,14.0,"364,418,512,626,779,1059,1259,1333,1371,1634,1647,1770,1771,1883",results_colon_cv_seed42_cG_1/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.6666666666666666,0.33333333333333337,0.0,14.0,"13,180,285,376,560,580,801,1257,1324,1410,1634,1883,1896,1916",results_colon_cv_seed42_cG_1/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,244,248,266,376,492,779,891,896,1493,1634,1647,1842,1866",results_colon_cv_seed42_cG_1/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_09_eta.csv
10,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"266,285,492,678,764,1057,1167,1226,1770,1771,1872,1934,1959,1997",results_colon_cv_seed42_cG_1/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_cG_1/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_cG_1/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.7880952380952381,0.21190476190476187,0.667142857142857,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.15489412341460843,0.15489412341460843,0.28656355261983035,0.0,,,,
